City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,ndioum,16.5129,-14.6471,25.94,28,69,3.93,SN,1711414113
115,sovetskaya gavan',48.9723,140.2878,-0.5,53,6,3.62,RU,1711414114
116,sonneberg,50.35,11.1667,3.01,80,72,1.34,DE,1711414116
117,kearney,40.6995,-99.0815,-5.8,94,100,11.32,US,1711413712
118,sisimiut,66.9395,-53.6735,-5.56,82,100,2.91,GL,1711414118
119,san luis de la loma,17.2706,-100.8939,24.19,60,100,5.07,MX,1711414118
120,kruisfontein,-34.0033,24.7314,17.16,92,100,1.58,ZA,1711414119
121,albany,42.6001,-73.9662,1.43,74,4,0.45,US,1711413837
122,anadyr,64.75,177.4833,-25.72,76,74,8.0,RU,1711414120
123,tshabong,-26.05,22.45,24.88,38,98,6.35,BW,1711414121
124,puerto santa,-8.9906,-78.6456,23.19,82,99,3.3,PE,1711414122
125,pingyin,36.2831,116.4453,10.45,65,11,4.33,CN,1711414123
126,jayapura,-2.5333,140.7,31.66,68,10,1.92,ID,1711413964
127,isafjordur,66.0755,-23.124,-4.18,84,100,5.63,IS,1711414124
128,kavaratti,10.5669,72.642,28.37,70,73,3.59,IN,1711414125
129,kailua-kona,19.6406,-155.9956,27.98,71,40,5.66,US,1711413957
130,san antonio de pale,-1.4014,5.6325,27.97,81,100,0.37,GQ,1711414126
131,mar del plata,-38.0023,-57.5575,16.16,80,0,2.68,AR,1711413710
132,suoyarvi,62.0833,32.35,-2.84,97,100,1.6,RU,1711414127
133,gloucester,51.8657,-2.2431,8.77,77,100,1.34,GB,1711413982
134,bogande,12.9714,-0.1436,31.42,30,99,1.51,BF,1711414129
135,fallon,39.4735,-118.7774,12.93,30,75,5.66,US,1711414085
136,las heras,-46.5419,-68.9359,18.6,52,100,12.38,AR,1711414099
137,margaret river,-33.95,115.0667,18.1,67,6,3.64,AU,1711414132
138,xai-xai,-25.0519,33.6442,22.06,89,30,2.65,MZ,1711414133
139,revda,56.801,59.9303,-2.6,98,100,1.01,RU,1711414134
140,jean-rabel,19.8533,-73.1917,23.98,79,8,5.76,HT,1711414134
141,sur,22.5667,59.5289,27.11,62,100,4.12,OM,1711414136
142,baotou,40.6522,109.8222,10.24,32,45,4.85,CN,1711413971
143,ust-nera,64.5667,143.2,-9.54,83,100,3.47,RU,1711414137
144,la sarre,48.8002,-79.1996,0.86,86,100,4.51,CA,1711414074
145,eraan,9.0629,117.7016,30.92,57,82,2.32,PH,1711414139
146,east london,-33.0153,27.9116,21.94,87,100,4.6,ZA,1711414139
147,ziro,27.6333,93.8333,7.41,94,100,0.9,IN,1711414140
148,codrington,-38.2667,141.9667,16.99,62,100,5.15,AU,1711414141
149,tondano,1.3038,124.9112,25.05,78,100,1.32,ID,1711414142
150,aquiraz,-3.9014,-38.3911,26.77,88,100,2.15,BR,1711414142
151,hauterive,46.0901,3.4459,10.55,88,100,1.65,FR,1711414144
152,jhang sadr,31.2715,72.3284,21.31,30,57,2.97,PK,1711414145
153,sogndal,61.2283,7.1003,1.21,64,100,2.57,NO,1711414146
154,nieuw amsterdam,5.8833,-55.0833,28.09,69,20,2.06,SR,1711414148
155,praia da vitoria,38.7333,-27.0667,14.14,77,40,9.59,PT,1711414149
156,hermanus,-34.4187,19.2345,15.45,89,1,1.76,ZA,1711414149
157,garachico,28.7781,-17.7646,15.82,72,100,3.6,ES,1711414150
158,llerena,38.2354,-6.0739,6.35,87,100,4.43,ES,1711414151
159,saurimo,-9.6608,20.3916,19.08,93,100,0.7,AO,1711413968
160,talnakh,69.4865,88.3972,-35.72,96,52,1.01,RU,1711414154
